iso2,gpi_score,ppi_score,numbeo_safety_index,gti_score,numbeo_crime_index
ES,-0.9969370462882943,-1.1630744997809428,0.5579535148437417,-0.18241955979311783,-0.5579535148437421
ET,1.2454571695750614,0.9987356335198802,-0.37022320288245203,-0.3825760157483939,0.3702232028824516
FI,-1.3161246914292042,-2.164461612650339,1.2030692477314509,-0.31343881774252036,-1.2030692477314513
FJ,,,-0.7586092053352563,,0.7586092053352559
FR,-0.21108898325149641,-1.5498821732580854,-0.6796154421245163,0.4389616766053507,0.6796154421245159
GA,0.33637843341424145,0.6820115803243103,,-0.7184462307522365,
GB,-0.8838072480105033,-1.438017933193267,-0.2122356764609719,0.4078072602199877,0.21223567646097144
GE,0.2293091600441895,-0.39889348632610067,1.235983315735926,-0.7184462307522365,-1.2359833157359263
GH,-0.3504810561294891,0.012173901863893336,-0.021334082035017306,-0.7184462307522365,0.021334082035016837
GM,-0.4373485798070788,,,-0.7184462307522365,
GN,0.36668105795293615,1.2211163517210246,,-0.7184462307522365,
GQ,-0.13634250938938472,1.4030642120674153,,-0.7184462307522365,
GR,-0.6211845020084885,-0.8760012090121926,-0.0871622180439672,0.5311446072798488,0.08716221804396673
GT,0.2070872353824803,0.8370042021008658,-0.8310201549451014,-0.7184462307522365,0.8310201549451008
GW,0.08183638728921262,1.1200342070841405,,-0.7184462307522365,
GY,0.15658286115132386,0.23320685813654624,-1.39714212462207,-0.7184462307522365,1.3971421246220697
HN,0.5565775050620839,0.5431921016896567,-1.7723624998730847,-0.7184462307522365,1.7723624998730843
HR,-1.1161273694738238,-0.8935221140825863,1.2886458245430856,-0.7184462307522365,-1.288645824543086
HT,1.3323246932526502,1.2251596375064995,-2.226576638334839,-0.7184462307522365,2.226576638334839
HU,-1.1545106938895031,-0.7398772542345223,0.7488551092696962,-0.7184462307522365,-0.7488551092696967
ID,-0.5767406526850706,0.21433819113766095,-0.060830963640387335,1.0611964586582128,0.06083096364038687
IE,-1.639352686508607,-1.964992847233555,-0.16615598125470726,-0.6190081620153934,0.1661559812547068
IL,2.093930656658493,-0.8652191135842583,0.8739285676867015,2.466559378617112,-0.8739285676867019
IN,0.3181968586910257,0.2722919540628079,0.05107686757482768,2.017167591578934,-0.05107686757482815
IQ,1.5969676142239115,1.1267730167265992,0.13007063078556727,2.090572517856775,-0.13007063078556774
IR,1.3707080176683295,0.7871370107466699,-0.3570575756806619,1.8660900107512843,0.35705757568066143
IS,-1.9726815564342408,-1.8436942736692945,1.2754801973412955,-0.6659531730070365,-1.275480197341296
IT,-0.8272423488716079,-1.106468498784288,-0.12007628604844216,-0.3219742742864552,0.12007628604844169
JM,-0.049474985711795,-0.39889348632610067,-1.4695530742319152,-0.7184462307522365,1.4695530742319152
JO,-0.23129073294395908,0.17794861906838316,0.33413785241331206,0.5247430148718977,-0.3341378524133125
JP,-1.2757211920442788,-1.7075703188916243,1.459798978166355,-0.31343881774252036,-1.4597989781663554
KE,0.6474853786781662,0.5620607686885415,-0.7191123237298863,1.5716167599855262,0.7191123237298859
KG,-0.168665308897325,0.46906519562260834,-0.6072044925146713,-0.7184462307522365,0.6072044925146709
KH,-0.10603988485069049,0.717053390465097,-0.4097200844878216,-0.537921324848011,0.40972008448782116
KP,1.6959561877169784,0.9461729183087003,-0.5940388653128816,-0.7184462307522365,0.5940388653128812
KR,-0.677749401147384,-1.4488000286212013,1.3281427061484552,-0.4700644453237278,-1.3281427061484556
KV,-0.3302793064370264,-0.47571591625013293,,-0.384709879884378,
KW,-0.8676458482565331,-0.17112172041098958,0.8081004316777515,-0.7184462307522365,-0.808100431677752
KY,,,0.9397567036956513,,-0.9397567036956518
KZ,-0.39694508042215304,0.09843066528736764,-0.008168454833227605,-0.7184462307522365,0.008168454833227139
LA,-0.5828011775928097,0.7008802473231955,,-0.7184462307522365,
LB,1.2171747200056133,0.8006146300315874,-0.11349347244754707,-0.19052824350985614,0.11349347244754661
LK,0.007089913427100495,0.277683001776775,0.19589876679451718,-0.7184462307522365,-0.19589876679451765
LR,-0.2676538823903919,0.8841758695980785,,-0.7184462307522365,
LS,0.39496350752238296,0.5121935773343456,,-0.7184462307522365,
LT,-1.0373405456732196,-1.1927252622077624,0.8344316860813309,-0.537921324848011,-0.8344316860813314
LU,,,0.7159410412652213,,-0.7159410412652217
LV,-1.0373405456732196,-0.9743878297920928,0.5250394468392666,-0.537921324848011,-0.5250394468392672
LY,0.8212204260333457,1.1456416837254846,-0.7454435781334662,-0.030488433311074706,0.7454435781334657
MA,-0.12018110963541459,0.3841561941276263,-0.17932160845649697,-0.7184462307522365,0.1793216084564965
